chromosome	start0	end0	start1	end1	len0	len1
chr1	0	121700000	125100000	248956422
chr2	0	91800000	96000000	242193525
chr3	0	87800000	94000000	198295559
chr4	0	48200000	58500000	190214555
chr5	0	46100000	51400000	181538259
chr6	0	58500000	62700000	170805979
chr7	0	58100000	67500000	159345973
chr8	0	43200000	51300000	145138636
chr9	0	42200000	45500000	138394717
chr10	0	38000000	45500000	133797422
chr11	0	51000000	55800000	135086622
chr12	0	33200000	37800000	133275309
chr13	0	16500000	18900000	114364328
chr14	0	16100000	18200000	107043718
chr15	0	17500000	20500000	101991189
chr16	0	35300000	38400000	90338345
chr17	0	22700000	27400000	83257441
chr18	0	15500000	21500000	80373285
chr19	0	24200000	28100000	58617616
chr20	0	25700000	30400000	64444167
chr21	0	10900000	13000000	46709983
chr22	0	13700000	17400000	50818468


